rank,Rank,Word,Score,Bonus Score,Pos1 Overall Freq,Pos1 Positional Freq,Pos2 Overall Freq,Pos2 Positional Freq,Pos3 Overall Freq,Pos3 Positional Freq,Pos4 Overall Freq,Pos4 Positional Freq,Pos5 Overall Freq,Pos5 Positional Freq
1,3,slate,3.7525553144620494,23.289685499627065,0.5328345802161264,0.572734829592685,0.7880299251870324,0.5835411471321695,1.0,1.0,0.6556291390728477,1.0,0.43354430379746833,1.0
2,8,saner,3.7000472036165446,23.398739947305952,0.5328345802161264,0.7880299251870324,0.4538653366583541,1.0,0.7231920199501247,1.0,1.0,0.4459016393442623,1.0,0.501187648456057
3,11,stare,3.667693180425302,23.448050964258602,0.5328345802161264,0.5835411471321695,0.7880299251870324,0.7231920199501247,1.0,1.0,0.24834437086092714,1.0,0.46835443037974683,1.0
4,13,crate,3.639306782175993,23.322196848196242,0.372402327514547,0.7231920199501247,0.7880299251870324,0.5835411471321695,1.0,0.5386740331491713,0.8774834437086093,1.0,0.43354430379746833,1.0
5,15,crane,3.629219263630584,23.32956848545464,0.372402327514547,0.7231920199501247,0.7880299251870324,0.4538653366583541,1.0,0.5386740331491713,0.8774834437086093,1.0,0.569620253164557,1.0
6,16,raise,3.6266482324079545,23.354113787640674,0.7231920199501247,0.7880299251870324,0.5344970906068163,0.5328345802161264,1.0,0.281767955801105,1.0,0.8688524590163934,0.5348101265822784,1.0
7,17,arose,3.6190364428076363,23.379491789152663,0.7880299251870324,0.7231920199501247,0.6034912718204489,0.5328345802161264,1.0,0.3784530386740331,0.8774834437086093,0.7934426229508197,0.5348101265822784,1.0
8,18,arise,3.615024069369646,23.369324850382352,0.7880299251870324,0.7231920199501247,0.5344970906068163,0.5328345802161264,1.0,0.3784530386740331,0.8774834437086093,0.8688524590163934,0.5348101265822784,1.0
9,19,snare,3.6112721469163596,23.362075406498054,0.5328345802161264,0.4538653366583541,0.7880299251870324,0.7231920199501247,1.0,1.0,0.2814569536423841,1.0,0.46835443037974683,1.0
10,20,share,3.611168515267006,23.387049300270125,0.5328345802161264,0.29925187032418954,0.7880299251870324,0.7231920199501247,1.0,1.0,0.47019867549668876,1.0,0.46835443037974683,1.0
11,22,stale,3.6020303333236474,23.41422806089547,0.5328345802161264,0.5835411471321695,0.7880299251870324,0.572734829592685,1.0,1.0,0.24834437086092714,1.0,0.5063291139240507,1.0
12,24,trace,3.594059736928073,23.275797519751524,0.5835411471321695,0.7231920199501247,0.7880299251870324,0.372402327514547,1.0,0.40331491712707185,0.8774834437086093,1.0,0.46835443037974683,1.0
13,28,saute,3.5851918256340882,23.26018355066878,0.5328345802161264,0.7880299251870324,0.3649210307564422,0.5835411471321695,1.0,1.0,1.0,0.5377049180327869,0.43354430379746833,1.0
14,37,shale,3.545505668165351,23.353226396906987,0.5328345802161264,0.29925187032418954,0.7880299251870324,0.572734829592685,1.0,1.0,0.47019867549668876,1.0,0.5063291139240507,1.0
15,40,irate,3.524591498561823,23.444116586485148,0.5344970906068163,0.7231920199501247,0.7880299251870324,0.5835411471321695,1.0,0.0856353591160221,0.8774834437086093,1.0,0.43354430379746833,1.0
16,49,scare,3.496434379304484,23.43655628697285,0.5328345802161264,0.372402327514547,0.7880299251870324,0.7231920199501247,1.0,1.0,0.12582781456953643,1.0,0.46835443037974683,1.0
17,55,sauce,3.4847300318064214,23.208909946158208,0.5328345802161264,0.7880299251870324,0.3649210307564422,0.372402327514547,1.0,1.0,1.0,0.5377049180327869,0.46835443037974683,1.0
18,57,spare,3.47743483071459,23.412711389802876,0.5328345802161264,0.2809642560266002,0.7880299251870324,0.7231920199501247,1.0,1.0,0.19536423841059603,1.0,0.46835443037974683,1.0
19,62,store,3.4732461014015503,23.40991249899595,0.5328345802161264,0.5835411471321695,0.6034912718204489,0.7231920199501247,1.0,1.0,0.24834437086092714,0.7934426229508197,0.46835443037974683,1.0
20,64,teary,3.470006057438166,23.33209999884821,0.5835411471321695,1.0,0.7880299251870324,0.7231920199501247,0.33000831255195345,0.40331491712707185,0.7913907284768212,1.0,0.46835443037974683,0.8622327790973872
21,67,grate,3.4606935776183256,23.33528547916299,0.23524522028262676,0.7231920199501247,0.7880299251870324,0.5835411471321695,1.0,0.30939226519337015,0.8774834437086093,1.0,0.43354430379746833,1.0
